rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss
19.53,14,54,1957,27648,7.036162919999999,0.0443359375,0.2,0.2656134366989136,0.0019124516,-0.5389218140393496,530,-0.002157699322560802,0.0005,6.438697201013565,3.479287624359131
20.89,14,55,2002,28160,7.7024222799999995,0.0623046875,0.2,0.24062621593475342,0.005298287,-0.5899914935231209,540,-0.0037931187078356745,0.0005,7.287418729066848,3.015599250793457
22.09,14,56,2042,28672,8.31012878,0.0353515625,0.2,0.2162107229232788,0.0027133378,-0.6559429287910461,550,-0.0022450728225521742,0.0005,7.653802007436752,3.1621367931365967
22.05,14,57,2079,29184,8.243723319999999,0.04765625,0.2,0.4106135964393616,0.0058544604,-0.6763210862874984,560,-0.0009885400533676148,0.0005,7.903671556711197,3.832482099533081
20.21,14,58,2116,29696,7.380948609999999,0.045703125,0.2,0.3074467182159424,0.0048614945,-0.7305540010333061,570,-0.0037277167080901562,0.0005,4.67488254904747,1.8021796941757202
19.15,14,59,2152,30208,6.868619,0.03125,0.2,0.1298234462738037,0.0006067464,-0.742384647578001,580,0.00028986463439650834,0.0005,7.845788466930389,3.0677356719970703
19.17,14,60,2188,30720,6.86143373,0.0390625,0.2,0.30818796157836914,0.0032446985,-0.6921254955232143,590,-0.0023658431833609938,0.0005,6.289818188548088,2.6555655002593994
20.34,14,61,2224,31232,7.376466839999998,0.0283203125,0.2,0.3636760115623474,0.0014744757,-0.7253786429762841,600,-2.325564855709672e-05,0.0005,6.362816390395165,3.2261924743652344
21.44,14,62,2259,31744,7.883923920000001,0.0279296875,0.2,0.2254951000213623,0.0019563946,-0.677344561368227,610,-0.0009449939476326108,0.0005,7.428569483757019,4.149266242980957
21.28,14,63,2296,32256,7.85018957,0.0619140625,0.2,0.3023962378501892,0.008682384,-0.642081294208765,620,-0.006800684711197391,0.0005,8.108390361070633,4.3430399894714355
20.98,14,64,2334,32768,7.69631316,0.0212890625,0.2,0.2921299338340759,0.0027918217,-0.6170846939086914,630,-0.0024693719169590622,0.0005,6.631492638587952,3.2290139198303223
22.71,13,65,2379,33280,8.63436769,0.0509765625,0.2,0.3390844464302063,0.006090667,-0.6102271065115928,640,-0.002615219372091815,0.0005,5.90651348233223,3.44834566116333
22.95,13,66,2419,33792,8.719002960000001,0.085546875,0.2,0.420512318611145,0.0059423083,-0.6216104999184608,650,-0.006526039226446301,0.0005,6.919134286046028,3.711669683456421
21.78,13,67,2459,34304,8.16790487,0.028125,0.2,0.279979944229126,0.0008493173,-0.6170226469635963,660,-0.002029462781501934,0.0005,6.974233800172806,4.053401470184326
21.99,13,68,2497,34816,8.230184629999998,0.0263671875,0.2,0.2294359803199768,0.0025473665,-0.6225446611642838,670,-0.001465334533713758,0.0005,6.5139295399189,2.5815603733062744
21.45,13,69,2537,35328,7.96230649,0.056640625,0.2,0.0962185263633728,0.0039992156,-0.6663675583899021,680,-0.002777835342567414,0.0005,7.78381809592247,2.4230706691741943
20.9,13,70,2574,35840,7.73652825,0.040234375,0.2,0.20737111568450928,0.0022855112,-0.6429802499711513,690,-0.0006289967452175916,0.0005,8.102297389507294,3.880357503890991
20.2,13,71,2610,36352,7.516821430000001,0.11875,0.2,0.2724671959877014,0.0069941767,-0.5280843246728182,700,-0.01287303507560864,0.0005,6.659957367181778,3.57084321975708
19.93,13,72,2649,36864,7.343180670000001,0.0626953125,0.2,0.47744840383529663,0.0025237608,-0.5772157199680805,710,-0.0036831966310273854,0.0005,4.148008352518081,1.9572027921676636
19.08,13,73,2686,37376,6.94073509,0.0314453125,0.2,0.3295432925224304,0.0036492022,-0.6451800741255284,720,-0.0018256471143104137,0.0005,5.573537755012512,2.1819915771484375
18.71,13,74,2727,37888,6.77968919,0.0833984375,0.2,0.10250097513198853,0.007070182,-0.5874936811625957,730,-0.006265970610547811,0.0005,7.543303287029266,3.371915340423584
19.57,13,75,2764,38400,7.18456994,0.0484375,0.2,0.28314733505249023,0.0017547297,-0.62202537804842,740,-0.003465135022997856,0.0005,6.643054831027984,2.6532061100006104
19.82,13,76,2804,38912,7.30808442,0.0255859375,0.2,0.26774686574935913,0.00014871254,-0.6430321201682091,750,-0.0005156176397576928,0.0005,6.893319445848465,4.142074108123779
21.28,13,77,2844,39424,7.93274257,0.019140625,0.2,0.23209357261657715,0.0014536061,-0.662186848372221,760,-0.0010178912663832307,0.0005,7.7040894567966465,3.7241430282592773
21.85,13,78,2886,39936,8.16657788,0.0400390625,0.2,0.254685640335083,0.0035999126,-0.5724715240299701,770,-0.002382462052628398,0.0005,6.564929789304733,2.7574262619018555
23.6,13,79,2925,40448,8.98446629,0.0365234375,0.2,0.2962406277656555,0.0028015242,-0.5698983870446682,780,-0.002102564484812319,0.0005,6.40401998758316,2.983978748321533
23.16,13,80,2965,40960,8.820187210000002,0.02265625,0.2,0.3699951767921448,0.0023143615,-0.49323204942047594,790,-0.0023716928670182826,0.0005,7.627339148521424,3.8014719486236572
21.76,13,81,3003,41472,8.24474563,0.034765625,0.2,0.5517683029174805,0.0010921588,-0.4305804565548897,800,-0.0028813351702410726,0.0005,6.864302778244019,3.4421870708465576
21.62,13,82,3041,41984,8.361629039999999,0.0111328125,0.2,0.49283450841903687,0.0021813205,-0.44378654658794403,810,-0.000689173533464782,0.0005,6.3912679821252825,3.3298628330230713
19.46,13,83,3078,42496,7.37080173,0.0333984375,0.2,0.19159531593322754,0.0036380477,-0.46631942614912986,820,-0.0019525826442986726,0.0005,7.421699517965317,2.966684579849243
20.41,13,84,3116,43008,7.85049384,0.015234375,0.2,0.2488691806793213,0.00077792164,-0.4005846906453371,830,-0.0002497751440387219,0.0005,6.229710417985916,2.529707193374634
19.55,13,85,3160,43520,7.43315737,0.0201171875,0.2,0.28191643953323364,0.0034773736,-0.40949070639908314,840,0.00012062088353559375,0.0005,8.528497701883316,3.715031862258911
18.84,13,86,3205,44032,7.0522930399999995,0.022265625,0.2,0.3813329339027405,0.0029388247,-0.4427113331854343,850,-0.0022206478170119226,0.0005,6.179152572154999,2.571908950805664
18.5,13,87,3249,44544,6.875093389999998,0.0763671875,0.2,0.2845328450202942,0.006887758,-0.5282197192311286,860,-0.003669562574941665,0.0005,7.833076024055481,3.183061122894287
17.7,13,88,3295,45056,6.559212079999998,0.0154296875,0.2,0.1691882610321045,0.0010028979,-0.513670713827014,870,-0.0006743672944139689,0.0005,7.311948043107987,3.8398237228393555
19.05,13,89,3344,45568,7.126710259999999,0.024609375,0.2,0.20699185132980347,0.0009572613,-0.5504529356956482,880,-0.0007490869495086372,0.0005,6.630629938840866,3.6410558223724365
